Point,Island,Year,LOCATION,Lat,Long,DomCover,DomVeg,plant_av,water_av,bare_av,plantheight_av_cm,water_depth_av_cm,SPPDiv,Salav,Grassav,BMav,WSav
R7,Raccoon,2017,Restored,-90.92663,29.05202,bare,bare,0,0,1,0,0,0,0,0,0,0
R7,Raccoon,2018,Restored,-90.92663,29.05202,mix,mix,0.5,0,0.5,15.24,0,2,0.5,0.5,0,0
R8,Raccoon,2016,Restored,-90.92878,29.05287,bare,bare,0,0,1,0,0,0,0,0,0,0
R8,Raccoon,2017,Restored,-90.92878,29.05287,bare,bare,0,0,1,0,0,0,0,0,0,0
R8,Raccoon,2018,Restored,-90.92878,29.05287,mix,sal,0.5,0,0.5,12.7,0,0,1,0,0,0
R9,Raccoon,2016,Restored,-90.92994,29.05348,bare,bare,0,0,1,0,0,0,0,0,0,0
R9,Raccoon,2017,Restored,-90.92994,29.05348,bare,bare,0.2,0.2,0.6,0,2.54,0,1,0,0,0
R9,Raccoon,2018,Restored,-90.92994,29.05348,bare,grass,0.3,0,0.7,30.48,0,0,0,1,0,0
W1,Whiskey,2016,Reference,29.04884,-90.84346,plant,grass,0.75,0,0.25,52.705,0,2,0,0.75,0.25,0
W1,Whiskey,2017,Reference,29.04884,-90.84346,mix,grass,0.5,0,0.5,66.04,0,2,0,0.9,0.1,0
W1,Whiskey,2018,Reference,29.04884,-90.84346,plant,mix,1,0,0,60.96,2.54,2,0,0.5,0.5,0
W10,Whiskey,2016,Restored,29.05241,-90.82694,plant,grass,0.8,0,0.2,60.96,0,1,0,1,0,0
W10,Whiskey,2017,Restored,29.05241,-90.82694,plant,grass,1,0,0,144.78,0,2,0,0.8,0.2,0
W10,Whiskey,2018,Restored,29.05241,-90.82694,plant,grass,1,0,0,30.48,7.62,1,0,1,0,0
W11,Whiskey,2016,Restored,29.05002,-90.82452,plant,grass,1,0,0,101.6,0,1,0,1,0,0
W11,Whiskey,2017,Restored,29.05002,-90.82452,plant,grass,0.8,0.2,0,93.345,5.08,1,0,1,0,0
W11,Whiskey,2018,Restored,29.05002,-90.82452,plant,grass,1,0,0,30.48,0,2,0,1,0,0
W12,Whiskey,2016,Restored,29.05049,-90.82239,plant,mix,0.75,0.25,0,72.6948,2.54,2,0,0.5,0.5,0
W12,Whiskey,2017,Restored,29.05049,-90.82239,plant,grass,0.8,0.2,0,64.77,5.08,2,0,0.9,0.1,0
W12,Whiskey,2018,Restored,29.05049,-90.82239,plant,BM,1,0,0,177.8,1.27,2,0,0.2,0.8,0
W13,Whiskey,2016,Restored,29.05212,90.82236,plant,grass,1,0,0,84.455,0,2,0,0.8,0.1,0
W13,Whiskey,2017,Restored,29.05212,90.82236,plant,grass,0.9,0.1,0,84.455,7.62,2,0,0.99,0.01,0
W13,Whiskey,2018,Restored,29.05212,90.82236,plant,grass,1,0,0,0,0,1,0,1,0,0
W14,Whiskey,2016,Restored,29.05074,-90.81959,plant,grass,1,0,0,89.535,0,2,0,0.7,0.3,0
W14,Whiskey,2017,Restored,29.05074,-90.81959,plant,grass,0.7,0,0.3,78.4098,0,2,0,0.9,0.1,0
W14,Whiskey,2018,Restored,29.05074,-90.81959,plant,grass,0.6,0.4,0,73.66,1.27,2,0,0.75,0.25,0
W15,Whiskey,2016,Restored,29.0511,-90.81808,plant,grass,0.9,0.1,0,82.55,1.27,1,0,1,0,0
W15,Whiskey,2017,Restored,29.0511,-90.81808,plant,grass,0.75,0.25,0,70.7898,2.54,2,0,0.95,0.05,0
W15,Whiskey,2018,Restored,29.0511,-90.81808,plant,mix,1,0,0,182.88,10.16,2,0,0.5,0.5,0
W16,Whiskey,2018,Restored,29.05229,-90.817,mix,mix,0.5,0.5,0,100.965,5.08,2,0,0.5,0.5,0
W18,Whiskey,2016,Reference,29.05312,-90.81179,plant,BM,0.75,0.25,0,120.65,2.54,1,0,0,1,0
W18,Whiskey,2017,Reference,29.05312,-90.81179,plant,BM,0.75,0.25,0,114.935,12.7,1,0,0,1,0
W19,Whiskey,2016,Reference,29.05406,29.81025,plant,sal,1,0,0,73.025,0,2,0.75,0,0.25,0
W19,Whiskey,2017,Reference,30.05406,29.81026,plant,BM,1,0,0,86.995,0,2,0.25,0,0.75,0
W20,Whiskey,2016,Reference,29.05399,90.80923,water,BM,0.25,0.75,0,64.008,7.62,2,0,0.05,0.95,0
W20,Whiskey,2017,Reference,29.054,90.80924,plant,BM,0.9,0.1,0,85.09,5.08,2,0,0.1,0.9,0
W20,Whiskey,2018,Reference,29.05401,90.80925,mix,mix,0.4,0.25,0.35,152.4,17.78,2,0.5,0,0.5,0
W21,Whiskey,2016,Reference,29.05476,90.80877,plant,BM,0.9,0,0.1,90.805,0,1,0,0,1,0
W21,Whiskey,2018,Reference,29.05477,90.80878,mix,BM,0.6,0.4,0,121.92,5.08,2,0,0,1,0
W22,Whiskey,2016,Reference,29.05515,90.81867,plant,mix,0.8,0,0.2,82.55,0,2,0.25,0,0.25,0
W22,Whiskey,2017,Reference,30.05515,90.81868,plant,BM,1,0,0,100.33,0,2,0.1,0,0.9,0
W22,Whiskey,2018,Reference,31.05515,90.81869,mix,mix,0.5,0.5,0,91.44,5.08,2,0.5,0,0.5,0
W3,Whiskey,2016,Reference,29.05008,-90.84161,mix,grass,0.5,0.5,0,79.375,2.54,2,0,0.75,0.25,0
W3,Whiskey,2017,Reference,29.05009,-90.84162,mix,BM,0.5,0.25,0.25,92.71,3.81,2,0,0.1,0.9,0
W3,Whiskey,2018,Reference,29.0501,-90.84163,mix,BM,0.5,0.5,0,121.92,12.7,1,0,0,1,0
W5,Whiskey,2016,Reference,29.04838,90.83981,water,BM,0.25,0.75,0,30.48,10.16,0,0,0,1,0
W5,Whiskey,2017,Reference,29.04838,90.83981,plant,BM,1,0,0,102.235,0,1,0,0,1,0
W5,Whiskey,2018,Reference,29.04838,90.83981,plant,BM,0.9,0.1,0,121.92,2.54,1,0,0,0.75,0
W6,Whiskey,2016,Reference,29.04719,-90.83683,plant,BM,0.7,0.3,0,83.185,0,1,0,0,1,0
W6,Whiskey,2017,Reference,29.0472,-90.83684,water,BM,0.2,0.8,0,76.2,5.08,2,0,0.25,0.75,0
W6,Whiskey,2018,Reference,29.04721,-90.83685,plant,BM,0.9,0,0.1,121.92,0,1,0,0,1,0
W8,Whiskey,2016,Restored,29.04792,-90.82789,bare,bare,0,0,1,0,0,0,0,0,0,0
W8,Whiskey,2017,Restored,29.04792,-90.82789,plant,mix,0.75,0,0.25,85.3948,0,2,0,0.5,0.5,0
W9,Whiskey,2016,Restored,29.04885,-90.82658,plant,grass,0.8,0,0.2,76.2,0,1,0,1,0,0
W9,Whiskey,2017,Restored,29.04886,-90.82659,plant,grass,1,0,0,144.78,0,2,0,0.8,0.2,0
